time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-24T16:29:31.640Z,38.8255005,-122.8546677,2.37,0.31,md,17,66,0.002671,0.02,nc,nc73709831,2022-03-24T16:51:13.687Z,"10km WNW of The Geysers, CA",earthquake,0.28,0.53,0.13,3,automatic,nc,nc
2022-03-24T16:17:13.193Z,57.4701,-154.971,25.5,1.8,ml,,,,0.6,ak,ak0223tj8euv,2022-03-24T16:19:32.319Z,"32 km WSW of Karluk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-03-24T16:16:20.160Z,33.6761667,-116.7375,15.19,0.95,ml,29,92,0.03996,0.16,ci,ci39976775,2022-03-24T17:20:53.625Z,"7km SSW of Idyllwild, CA",earthquake,0.28,0.45,0.181,25,reviewed,ci,ci
2022-03-24T16:12:00.710Z,46.198,-122.18,6.66,0.26,ml,17,141,0.007748,0.26,uw,uw61815757,2022-03-24T20:56:36.190Z,"38 km NNE of Amboy, Washington",earthquake,0.6,0.87,0.15161045721582062,7,reviewed,uw,uw
2022-03-24T15:54:05.990Z,19.2066669464111,-155.422164916992,32.5,2.00999999,md,32,149,,0.119999997,hv,hv72960917,2022-03-24T15:57:14.950Z,"5 km E of Pāhala, Hawaii",earthquake,0.71,0.939999998,1.71000004,14,automatic,hv,hv
2022-03-24T15:47:26.080Z,19.0691666666667,-67.1868333333333,35.69,3.22,md,23,209,,0.43,pr,pr71341843,2022-03-24T16:20:25.530Z,"64 km N of San Antonio, Puerto Rico",earthquake,1.61,7.58,0.106566513012641,14,reviewed,pr,pr
2022-03-24T15:46:23.880Z,19.2045001983643,-155.408996582031,33.0699996948242,2.24000001,md,30,160,,0.119999997,hv,hv72960912,2022-03-24T15:49:44.920Z,"7 km E of Pāhala, Hawaii",earthquake,0.79,0.879999995,0.839999974,12,automatic,hv,hv
2022-03-24T15:43:33.350Z,33.2463333,-116.302,5.06,0.92,ml,33,118,0.06695,0.18,ci,ci39976727,2022-03-24T18:02:12.920Z,"7km E of Borrego Springs, CA",earthquake,0.26,0.53,0.138,17,reviewed,ci,ci
2022-03-24T15:40:32.460Z,38.7803345,-122.7656631,1,0.42,md,6,159,0.02079,0.01,nc,nc73709826,2022-03-24T16:12:12.463Z,"1km WNW of The Geysers, CA",earthquake,0.67,0.88,0.08,2,automatic,nc,nc
2022-03-24T15:40:21.737Z,61.2214,-150.2621,39.8,1.4,ml,,,,0.53,ak,ak0223tirxdo,2022-03-24T15:43:14.945Z,"19 km W of Anchorage, Alaska",earthquake,,0.7,,,automatic,ak,ak
2022-03-24T14:55:57.260Z,35.894,-117.7193333,5.47,1.17,ml,24,43,0.07762,0.07,ci,ci39976663,2022-03-24T17:49:17.049Z,"18km ESE of Little Lake, CA",earthquake,0.11,0.38,0.108,16,reviewed,ci,ci
2022-03-24T14:53:24.687Z,41.9645,-119.5887,1.6,2.7,ml,5,145.95,0.535,0.137,nn,nn00835935,2022-03-24T18:04:41.876Z,"48 km ENE of Fort Bidwell, California",earthquake,,4,0.74,4,reviewed,nn,nn
2022-03-24T14:46:18.770Z,17.942,-66.9455,11.99,2.78,md,17,190,,0.26,pr,pr71341828,2022-03-24T15:15:16.545Z,"5 km SW of Guánica, Puerto Rico",earthquake,0.74,0.51,0.16787011519508,13,reviewed,pr,pr
2022-03-24T14:35:19.504Z,62.0649,-150.3489,54.5,1.9,ml,,,,0.36,ak,ak0223ti5f17,2022-03-24T14:39:48.125Z,"28 km WSW of Susitna North, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-03-24T14:26:58.520Z,19.2401676177979,-155.382507324219,31.7399997711182,2,md,35,143,,0.140000001,hv,hv72960862,2022-03-24T14:30:14.050Z,"10 km ENE of Pāhala, Hawaii",earthquake,0.55,0.860000014,1.03999996,15,automatic,hv,hv
2022-03-24T14:26:15.640Z,33.0426667,-115.5708333,8.29,0.77,ml,8,145,0.01029,0.22,ci,ci37405092,2022-03-24T17:46:13.620Z,"5km E of Westmorland, CA",earthquake,0.91,1.61,0.187,5,reviewed,ci,ci
2022-03-24T14:26:00.990Z,33.0341667,-115.5698333,6.2,1.03,ml,16,62,0.01093,0.16,ci,ci39976639,2022-03-24T17:39:06.628Z,"5km E of Westmorland, CA",earthquake,0.28,0.48,0.084,10,reviewed,ci,ci
2022-03-24T14:13:27.730Z,38.8255005,-122.8539963,2.7,1.18,md,26,70,0.003036,0.02,nc,nc73709796,2022-03-24T16:55:12.709Z,"10km WNW of The Geysers, CA",earthquake,0.21,0.42,0.02,5,automatic,nc,nc
2022-03-24T14:09:54.480Z,63.159,-150.8752,123,3.2,ml,,,,0.55,ak,ak0223thzx1o,2022-03-24T16:57:45.040Z,"60 km SE of Denali National Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-03-24T14:08:59.410Z,38.8195,-122.8040009,2.96,0.74,md,22,52,0.006135,0.02,nc,nc73709791,2022-03-24T14:10:33.563Z,"6km NW of The Geysers, CA",earthquake,0.26,0.71,0.1,2,automatic,nc,nc
2022-03-24T14:03:45.560Z,38.1743,-117.7907,9.7,1.2,ml,15,117.77,0.117,0.1133,nn,nn00835925,2022-03-24T16:49:56.670Z,"36 km SE of Mina, Nevada",earthquake,,2.2,0.5,4,reviewed,nn,nn
2022-03-24T14:00:17.590Z,44.6696667,-110.0406667,15.07,0.47,md,7,131,0.105,0.07,uu,uu60486882,2022-03-24T15:31:37.430Z,"37 km S of Silver Gate, Montana",earthquake,0.69,0.84,0.226,6,reviewed,uu,uu
2022-03-24T13:51:56.325Z,-3.3733,128.5171,53.76,4.7,mb,,56,3.753,0.97,us,us7000gwvs,2022-03-24T14:32:57.040Z,"44 km W of Amahai, Indonesia",earthquake,6.1,9.3,0.092,36,reviewed,us,us
2022-03-24T13:41:15.220Z,38.8339996,-122.7994995,1.78,0.63,md,14,65,0.008397,0.02,nc,nc73709776,2022-03-24T13:42:48.991Z,"7km WNW of Cobb, CA",earthquake,0.24,0.48,0.05,3,automatic,nc,nc
2022-03-24T13:40:32.640Z,45.3948333,-111.8028333,4.19,1.12,ml,16,101,0.233,0.15,mb,mb80541344,2022-03-24T13:56:54.680Z,"7 km NW of Ennis, Montana",earthquake,0.31,1.51,0.12,8,reviewed,mb,mb
2022-03-24T13:39:52.140Z,38.8203316,-122.8044968,3.08,0.84,md,11,123,0.005323,0.01,nc,nc73709771,2022-03-24T13:41:28.989Z,"6km NW of The Geysers, CA",earthquake,0.44,1.07,,1,automatic,nc,nc
